# This file is released under the Creative Commons Attribution 3.0 Unported
# (CC-BY <http://creativecommons.org/licenses/by/3.0/>).
#
# Copyright 2010 Kellen Parker, Allan Simon
# It was compiled by Kellen Parker and Allan Simon
# http://www.sinoglot.com/wu/tools/data/.
#
# Mapping of Chinese characters to their Shanghainese pronunciation in IPA.
#
# ChineseCharacter, IPA
畋	di³⁴
甸	di³⁴
電	di³⁴
靛	di³⁴
填	di⁵³
嗔	di⁵³
湉	di⁵³
恬	di⁵³
田	di⁵³
甜	di⁵³
畋	di⁵³
鈿	di⁵³
钿	di⁵³
闐	di⁵³
阗	di⁵³
窕	diɔ²³
掉	diɔ³⁴
莜	diɔ³⁴
條	diɔ⁵³
条	diɔ⁵³
笤	diɔ⁵³
鲦	diɔ⁵³
調	diɔ⁵³
鰷	diɔ⁵³
髫	diɔ⁵³
銚	diɔ⁵³
铫	diɔ⁵³
调	diɔ⁵³
迢	diɔ⁵³
苕	diɔ⁵³
蜩	diɔ⁵³
齠	diɔ⁵³
龆	diɔ⁵³
喋	diɪˀ¹²
垤	diɪˀ¹²
揲	diɪˀ¹²
滌	diɪˀ¹²
涤	diɪˀ¹²
敵	diɪˀ¹²
敌	diɪˀ¹²
叠	diɪˀ¹²
堞	diɪˀ¹²
糴	diɪˀ¹²
笛	diɪˀ¹²
碟	diɪˀ¹²
牒	diɪˀ¹²
狄	diɪˀ¹²
瓞	diɪˀ¹²
疊	diɪˀ¹²
籴	diɪˀ¹²
蹀	diɪˀ¹²
鲽	diɪˀ¹²
迪	diɪˀ¹²
鰈	diɪˀ¹²
谍	diɪˀ¹²
迭	diɪˀ¹²
諜	diɪˀ¹²
觌	diɪˀ¹²
耋	diɪˀ¹²
荻	diɪˀ¹²
蝶	diɪˀ¹²
覿	diɪˀ¹²
梃	din²³
挺	din²³
鋌	din²³
铤	din²³
艇	din²³
定	din³⁴
啶	din³⁴
碇	din³⁴
锭	din³⁴
腚	din³⁴
錠	din³⁴
廷	din⁵³
婷	din⁵³
停	din⁵³
庭	din⁵³
亭	din⁵³
霆	din⁵³
莛	din⁵³
葶	din⁵³
蜓	din⁵³
動	doŋ²³
桶	doŋ²³
动	doŋ²³
侗	doŋ²³
硐	doŋ²³
垌	doŋ³⁴
恫	doŋ³⁴
慟	doŋ³⁴
恸	doŋ³⁴
洞	doŋ³⁴
筒	doŋ³⁴
胴	doŋ³⁴
峒	doŋ⁵³
僮	doŋ⁵³
同	doŋ⁵³
仝	doŋ⁵³
桐	doŋ⁵³
潼	doŋ⁵³
彤	doŋ⁵³
佟	doŋ⁵³
瞳	doŋ⁵³
童	doŋ⁵³
烔	doŋ⁵³
砼	doŋ⁵³
